"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Laconia, NH","29060",2023,365,310,54,1,0,0,0,105,54,35,0,0,147,218,0
"Lafayette, LA","29180",2023,365,207,157,1,0,0,0,112,64,47,0,0,200,163,2
"Lafayette-West Lafayette, IN","29200",2023,365,236,118,9,1,1,0,206,64,45,0,0,166,199,0
"Lake Charles, LA","29340",2023,365,139,221,5,0,0,0,133,74,54,0,0,116,249,0
"Lake City, FL","29380",2023,363,210,153,0,0,0,0,89,61,47,0,0,97,266,0
"Lake Havasu City-Kingman, AZ","29420",2023,353,344,9,0,0,0,0,99,27,15,0,0,0,0,353
"Lakeland-Winter Haven, FL","29460",2023,365,275,89,1,0,0,0,101,58,42,0,0,220,145,0
"Lancaster, PA","29540",2023,365,108,243,9,3,1,1,321,85,58,0,0,61,304,0
"Lansing-East Lansing, MI","29620",2023,365,230,124,7,4,0,0,194,74,43,0,2,188,175,0
"Laramie, WY","29660",2023,365,212,149,4,0,0,0,132,71,48,0,0,289,5,71
"Laredo, TX","29700",2023,365,227,133,5,0,0,0,133,71,44,0,0,161,199,5
"Las Cruces, NM","29740",2023,365,162,189,11,3,0,0,196,87,52,0,9,210,81,65
"Las Vegas-Henderson-Paradise, NV","29820",2023,365,106,233,25,1,0,0,197,100,61,0,1,247,101,16
"Lawrenceburg, TN","29980",2023,359,246,113,0,0,0,0,98,60,41,0,0,0,359,0
"Lawton, OK","30020",2023,357,216,137,4,0,0,0,126,71,46,0,0,183,174,0
"Lebanon, PA","30140",2023,365,204,151,5,3,2,0,265,74,47,0,0,127,238,0
"Lewiston, ID-WA","30300",2023,365,187,171,5,1,1,0,204,67,49,0,0,0,365,0
"Lewiston-Auburn, ME","30340",2023,359,296,63,0,0,0,0,77,55,35,0,0,153,205,1
"Lexington-Fayette, KY","30460",2023,365,231,131,2,1,0,0,167,64,45,0,4,146,215,0
"Lima, OH","30620",2023,365,252,105,5,3,0,0,194,67,44,0,0,171,194,0
"Lincoln, NE","30700",2023,283,197,83,2,1,0,0,160,64,42,0,0,212,71,0
