"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"St. George, UT","41100",2023,365,291,74,0,0,0,0,90,61,43,0,0,345,20,0
"St. Joseph, MO-KS","41140",2023,365,182,175,8,0,0,0,129,74,51,0,0,119,240,6
"St. Louis, MO-IL","41180",2023,365,51,290,21,3,0,0,185,93,60,0,0,101,246,18
"St. Marys, PA","41260",2023,363,343,20,0,0,0,0,100,47,35,0,0,363,0,0
"State College, PA","44300",2023,365,239,118,3,5,0,0,199,68,45,0,0,188,177,0
"Steamboat Springs, CO","44460",2023,353,348,5,0,0,0,0,58,23,13,0,0,0,0,353
"Stockton-Lodi, CA","44700",2023,365,208,148,9,0,0,0,119,78,47,0,0,161,194,10
"Summerville, GA","44900",2023,244,225,19,0,0,0,0,100,49,38,0,0,244,0,0
"Syracuse, NY","45060",2023,365,276,80,5,3,1,0,258,60,40,0,0,198,167,0
"Tallahassee, FL","45220",2023,365,191,173,1,0,0,0,124,63,49,0,0,66,299,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2023,365,144,216,5,0,0,0,114,71,52,0,0,101,261,3
"Taos, NM","45340",2023,350,332,18,0,0,0,0,67,43,20,0,0,0,350,0
"Terre Haute, IN","45460",2023,365,182,175,6,1,1,0,232,69,51,0,0,144,221,0
"Texarkana, TX-AR","45500",2023,321,130,190,1,0,0,0,107,65,53,0,0,0,321,0
"The Dalles, OR","45520",2023,289,244,40,2,2,1,0,214,55,27,0,0,0,289,0
"Toledo, OH","45780",2023,365,217,133,13,2,0,0,190,79,45,0,0,162,203,0
"Topeka, KS","45820",2023,363,196,159,6,2,0,0,164,71,48,0,0,176,185,2
"Torrington, CT","45860",2023,364,285,72,3,4,0,0,183,59,38,6,0,263,95,0
"Traverse City, MI","45900",2023,238,198,37,2,1,0,0,156,71,38,0,0,238,0,0
"Trenton, NJ","45940",2023,365,194,160,6,4,1,0,244,70,49,0,0,123,242,0
"Truckee-Grass Valley, CA","46020",2023,365,243,119,3,0,0,0,140,71,44,0,0,223,142,0
"Tucson, AZ","46060",2023,365,123,235,7,0,0,0,147,84,54,0,0,179,123,63
"Tulsa, OK","46140",2023,365,138,207,18,2,0,0,197,84,53,0,0,165,193,7
"Tupelo, MS","46180",2023,245,212,31,2,0,0,0,122,54,42,0,0,245,0,0
"Tuscaloosa, AL","46220",2023,365,255,110,0,0,0,0,87,60,42,0,0,112,253,0
"Twin Falls, ID","46300",2023,344,328,16,0,0,0,0,80,42,25,0,0,0,344,0
"Tyler, TX","46340",2023,364,296,64,4,0,0,0,119,67,38,0,3,361,0,0
"Ukiah, CA","46380",2023,365,144,216,5,0,0,0,140,69,53,0,0,29,336,0
"Urban Honolulu, HI","46520",2023,365,337,27,1,0,0,0,117,47,31,0,0,174,187,4
"Utica-Rome, NY","46540",2023,351,275,70,3,3,0,0,190,56,32,0,0,0,351,0
"Valdosta, GA","46660",2023,359,188,167,4,0,0,0,126,66,48,0,0,0,359,0
"Vallejo-Fairfield, CA","46700",2023,365,269,95,1,0,0,0,105,57,40,0,1,242,122,0
"Vermillion, SD","46820",2023,365,244,103,15,3,0,0,173,80,43,0,0,197,168,0
"Vernal, UT","46860",2023,365,184,144,16,18,3,0,215,101,50,0,0,324,41,0
"Victoria, TX","47020",2023,356,345,11,0,0,0,0,74,44,31,0,0,356,0,0
"Vincennes, IN","47180",2023,364,313,43,8,0,0,0,126,58,39,0,0,364,0,0
"Vineland-Bridgeton, NJ","47220",2023,361,262,94,3,1,1,0,203,61,43,0,3,199,159,0
"Vineyard Haven, MA","47240",2023,363,332,25,6,0,0,0,133,48,38,0,0,342,21,0
"Virginia Beach-Norfolk-Newport News, VA-NC","47260",2023,365,229,133,2,1,0,0,174,64,44,0,6,123,236,0
"Visalia-Porterville, CA","47300",2023,365,94,189,61,19,2,0,242,126,69,0,0,206,154,5
"Wabash, IN","47340",2023,364,313,48,3,0,0,0,126,58,36,0,0,364,0,0
"Waco, TX","47380",2023,365,169,188,8,0,0,0,129,75,52,4,0,123,238,0
"Walla Walla, WA","47460",2023,365,290,71,1,1,1,1,305,55,41,0,0,217,129,19
"Warner Robins, GA","47580",2023,365,190,174,0,1,0,0,152,66,49,0,0,0,365,0
"Washington-Arlington-Alexandria, DC-VA-MD-WV","47900",2023,365,158,187,16,3,1,0,222,84,52,0,5,161,198,1
"Waterloo-Cedar Falls, IA","47940",2023,365,156,193,12,4,0,0,187,74,53,0,0,79,286,0
"Watertown, SD","47980",2023,363,215,135,12,1,0,0,164,77,45,0,0,135,209,19
"Watertown-Fort Atkinson, WI","48020",2023,203,145,43,15,0,0,0,140,97,44,0,0,203,0,0
"Watertown-Fort Drum, NY","48060",2023,362,344,17,1,0,0,0,101,44,33,0,0,362,0,0
"Wausau, WI","48140",2023,216,168,39,8,1,0,0,166,84,41,0,0,205,11,0
"Weirton-Steubenville, WV-OH","48260",2023,365,179,180,4,0,2,0,229,74,51,0,0,121,244,0
"Wenatchee, WA","48300",2023,365,280,80,1,2,2,0,266,59,34,0,0,0,365,0
"Wheeling, WV-OH","48540",2023,365,154,206,3,1,1,0,213,71,52,0,1,67,297,0
"Whitewater-Elkhorn, WI","48580",2023,203,138,48,17,0,0,0,143,93,44,0,0,203,0,0
"Wichita, KS","48620",2023,365,163,197,4,1,0,0,157,71,52,0,2,165,187,11
"Williamsport, PA","48700",2023,283,242,38,3,0,0,0,119,58,38,0,0,214,69,0
"Wilmington, NC","48900",2023,362,237,124,1,0,0,0,142,62,44,0,0,91,271,0
"Wilmington, OH","48940",2023,242,199,39,4,0,0,0,129,67,44,0,0,242,0,0
"Winchester, VA-WV","49020",2023,363,240,114,5,4,0,0,185,66,44,0,0,125,238,0
"Winona, MN","49100",2023,119,95,22,1,1,0,0,169,58,28,0,0,0,119,0
"Winston-Salem, NC","49180",2023,365,147,211,6,1,0,0,154,72,53,0,0,101,264,0
"Worcester, MA-CT","49340",2023,365,265,96,4,0,0,0,148,58,40,0,3,204,158,0
"Yakima, WA","49420",2023,365,203,158,1,1,2,0,233,69,46,0,0,0,363,2
"York-Hanover, PA","49620",2023,356,198,150,4,3,1,0,256,72,48,0,1,147,208,0
"Youngstown-Warren-Boardman, OH-PA","49660",2023,365,171,186,5,2,1,0,226,77,52,0,0,126,239,0
"Yuba City, CA","49700",2023,363,192,168,3,0,0,0,105,69,49,0,0,214,149,0
"Yuma, AZ","49740",2023,365,204,150,6,4,0,1,519,74,48,0,0,213,72,80
